Date,Country,Cases
01/04/2020,Indonesia,0.5
02/04/2020,Indonesia,0.4
03/04/2020,Indonesia,0.7
04/04/2020,Indonesia,0.4
05/04/2020,Indonesia,0.7
06/04/2020,Indonesia,0.8
07/04/2020,Indonesia,0.9
08/04/2020,Indonesia,0.8
09/04/2020,Indonesia,1.2
10/04/2020,Indonesia,0.8
11/04/2020,Indonesia,1.2
12/04/2020,Indonesia,1.4
13/04/2020,Indonesia,1.1
14/04/2020,Indonesia,1.0
15/04/2020,Indonesia,1.1
16/04/2020,Indonesia,1.4
17/04/2020,Indonesia,1.5
18/04/2020,Indonesia,1.2
19/04/2020,Indonesia,1.2
20/04/2020,Indonesia,0.7
21/04/2020,Indonesia,1.4
22/04/2020,Indonesia,1.0
23/04/2020,Indonesia,1.3
24/04/2020,Indonesia,1.6
25/04/2020,Indonesia,1.4
26/04/2020,Indonesia,1.0
27/04/2020,Indonesia,0.8
28/04/2020,Indonesia,1.5
29/04/2020,Indonesia,0.9
30/04/2020,Indonesia,1.3
01/05/2020,Indonesia,1.6
02/05/2020,Indonesia,1.1
03/05/2020,Indonesia,1.3
04/05/2020,Indonesia,1.4
05/05/2020,Indonesia,1.8
06/05/2020,Indonesia,1.3
07/05/2020,Indonesia,1.2
08/05/2020,Indonesia,1.2
09/05/2020,Indonesia,1.9
10/05/2020,Indonesia,1.4
11/05/2020,Indonesia,0.8
12/05/2020,Indonesia,1.8
13/05/2020,Indonesia,2.5
14/05/2020,Indonesia,2.1
15/05/2020,Indonesia,1.8
16/05/2020,Indonesia,1.9
17/05/2020,Indonesia,1.8
18/05/2020,Indonesia,1.8
19/05/2020,Indonesia,1.8
20/05/2020,Indonesia,2.5
21/05/2020,Indonesia,3.5
22/05/2020,Indonesia,2.3
23/05/2020,Indonesia,3.4
24/05/2020,Indonesia,1.9
25/05/2020,Indonesia,1.7
26/05/2020,Indonesia,1.5
27/05/2020,Indonesia,2.5
28/05/2020,Indonesia,2.5
29/05/2020,Indonesia,2.5
30/05/2020,Indonesia,2.0
31/05/2020,Indonesia,2.5
01/06/2020,Indonesia,1.7
02/06/2020,Indonesia,2.2
03/06/2020,Indonesia,2.5
04/06/2020,Indonesia,2.1
05/06/2020,Indonesia,2.6
06/06/2020,Indonesia,3.6
07/06/2020,Indonesia,2.4
08/06/2020,Indonesia,3.1
09/06/2020,Indonesia,3.8
10/06/2020,Indonesia,4.5
11/06/2020,Indonesia,3.6
12/06/2020,Indonesia,4.0
13/06/2020,Indonesia,3.7
14/06/2020,Indonesia,3.1
15/06/2020,Indonesia,3.7
16/06/2020,Indonesia,4.0
17/06/2020,Indonesia,3.7
18/06/2020,Indonesia,4.8
19/06/2020,Indonesia,3.8
20/06/2020,Indonesia,4.5
21/06/2020,Indonesia,3.1
22/06/2020,Indonesia,3.5
23/06/2020,Indonesia,3.8
24/06/2020,Indonesia,4.0
25/06/2020,Indonesia,4.3
26/06/2020,Indonesia,4.5
27/06/2020,Indonesia,5.0
28/06/2020,Indonesia,4.3
29/06/2020,Indonesia,3.9
30/06/2020,Indonesia,4.7
01/07/2020,Indonesia,5.0
02/07/2020,Indonesia,5.9
03/07/2020,Indonesia,4.7
04/07/2020,Indonesia,5.3
05/07/2020,Indonesia,5.8
06/07/2020,Indonesia,4.4
07/07/2020,Indonesia,4.6
08/07/2020,Indonesia,6.7
09/07/2020,Indonesia,9.6
10/07/2020,Indonesia,5.8
11/07/2020,Indonesia,6.1
12/07/2020,Indonesia,6.1
13/07/2020,Indonesia,4.7
14/07/2020,Indonesia,5.8
15/07/2020,Indonesia,5.5
16/07/2020,Indonesia,5.7
17/07/2020,Indonesia,5.3
18/07/2020,Indonesia,6.4
19/07/2020,Indonesia,5.9
20/07/2020,Indonesia,6.1
21/07/2020,Indonesia,6.0
22/07/2020,Indonesia,6.8
23/07/2020,Indonesia,6.9
24/07/2020,Indonesia,6.4
25/07/2020,Indonesia,6.8
26/07/2020,Indonesia,5.4
27/07/2020,Indonesia,5.5
28/07/2020,Indonesia,6.3
29/07/2020,Indonesia,8.6
30/07/2020,Indonesia,6.9
31/07/2020,Indonesia,7.4
01/08/2020,Indonesia,5.7
02/08/2020,Indonesia,5.5
03/08/2020,Indonesia,6.1
04/08/2020,Indonesia,7.0
05/08/2020,Indonesia,6.6
06/08/2020,Indonesia,6.8
07/08/2020,Indonesia,9.0
08/08/2020,Indonesia,8.3
09/08/2020,Indonesia,6.9
10/08/2020,Indonesia,6.1
11/08/2020,Indonesia,6.1
12/08/2020,Indonesia,7.0
13/08/2020,Indonesia,7.6
14/08/2020,Indonesia,8.4
15/08/2020,Indonesia,8.5
