Country,Code,date,policy,,,,
Afghanistan,AFG,01/06/2020,Required (except essentials),,,,
Afghanistan,AFG,01/06/2021,No measures,,,,
Afghanistan,AFG,01/06/2022,No measures,,,,
Albania,ALB,01/06/2020,Recommended,,,,
Albania,ALB,01/06/2021,Required (except essentials),,,,
Albania,ALB,01/06/2022,No measures,,,,
Algeria,DZA,01/06/2020,Required (except essentials),,,,
Algeria,DZA,01/06/2021,Required (except essentials),,,,
Algeria,DZA,01/06/2022,No measures,,,,
Andorra,AND,01/06/2020,Recommended,,,,
Andorra,AND,01/06/2021,No measures,,,,
Andorra,AND,01/06/2022,No measures,,,,
Angola,AGO,01/06/2020,Recommended,,,,
Angola,AGO,01/06/2021,Recommended,,,,
Angola,AGO,01/06/2022,Recommended,,,,
Argentina,ARG,01/06/2020,Required (except essentials),,,,
Argentina,ARG,01/06/2021,Required (except essentials),,,,
Argentina,ARG,01/06/2022,No measures,,,,
Aruba,ABW,01/06/2020,Recommended,,,,
Aruba,ABW,01/06/2021,Recommended,,,,
Aruba,ABW,01/06/2022,No measures,,,,
Australia,AUS,01/06/2020,No measures,,,,
Australia,AUS,01/06/2021,Required (except essentials),,,,
Australia,AUS,01/06/2022,No measures,,,,
Austria,AUT,01/06/2020,No measures,,,,
Austria,AUT,01/06/2021,No measures,,,,
Austria,AUT,01/06/2022,No measures,,,,
Azerbaijan,AZE,01/06/2020,Recommended,,,,
Azerbaijan,AZE,01/06/2021,Recommended,,,,
Azerbaijan,AZE,01/06/2022,No measures,,,,
Bahamas,BHS,01/06/2020,Required (except essentials),,,,
Bahamas,BHS,01/06/2021,Required (few exceptions),,,,
Bahamas,BHS,01/06/2022,No measures,,,,
Bahrain,BHR,01/06/2020,Recommended,,,,
Bahrain,BHR,01/06/2021,Recommended,,,,
Bahrain,BHR,01/06/2022,No measures,,,,
Bangladesh,BGD,01/06/2020,Recommended,,,,
Bangladesh,BGD,01/06/2021,Required (except essentials),,,,
Bangladesh,BGD,01/06/2022,No measures,,,,
Barbados,BRB,01/06/2020,Required (except essentials),,,,
Barbados,BRB,01/06/2021,Required (except essentials),,,,
Barbados,BRB,01/06/2022,No measures,,,,
Belarus,BLR,01/06/2020,Recommended,,,,
Belarus,BLR,01/06/2021,Recommended,,,,
Belarus,BLR,01/06/2022,No measures,,,,
Belgium,BEL,01/06/2020,Required (except essentials),,,,
Belgium,BEL,01/06/2021,Recommended,,,,
Belgium,BEL,01/06/2022,No measures,,,,
Belize,BLZ,01/06/2020,Required (except essentials),,,,
Belize,BLZ,01/06/2021,Required (except essentials),,,,
Belize,BLZ,01/06/2022,No measures,,,,
Benin,BEN,01/06/2020,No measures,,,,
Benin,BEN,01/06/2021,No measures,,,,
Benin,BEN,01/06/2022,No measures,,,,
Bermuda,BMU,01/06/2020,Required (except essentials),,,,
Bermuda,BMU,01/06/2021,Recommended,,,,
Bermuda,BMU,01/06/2022,No measures,,,,
Bhutan,BTN,01/06/2020,Recommended,,,,
Bhutan,BTN,01/06/2021,Required (except essentials),,,,
Bhutan,BTN,01/06/2022,No measures,,,,
Bolivia,BOL,01/06/2020,Required (except essentials),,,,
Bolivia,BOL,01/06/2021,No measures,,,,
Bolivia,BOL,01/06/2022,No measures,,,,
Bosnia and Herzegovina,BIH,01/06/2020,No measures,,,,
